date,open,high,low,close,volume,adjusted,symbol,return
1957-04-04,44.439999,44.439999,44.439999,44.439999,1820000,44.439999,sp500,-0.00224521773136011
1957-04-05,44.490002,44.490002,44.490002,44.490002,1830000,44.490002,sp500,0.00112518004332074
1957-04-08,44.389999,44.389999,44.389999,44.389999,1950000,44.389999,sp500,-0.00224776344132316
1957-04-09,44.790001,44.790001,44.790001,44.790001,2400000,44.790001,sp500,0.00901108378038029
1957-04-10,44.98,44.98,44.98,44.98,2920000,44.98,sp500,0.00424199588653718
1957-04-11,44.98,44.98,44.98,44.98,2350000,44.98,sp500,0
1957-04-12,44.98,44.98,44.98,44.98,2370000,44.98,sp500,0
1957-04-15,44.950001,44.950001,44.950001,44.950001,2010000,44.950001,sp500,-0.000666940862605547
1957-04-16,45.02,45.02,45.02,45.02,1890000,45.02,sp500,0.00155726359160702
1957-04-17,45.080002,45.080002,45.080002,45.080002,2290000,45.080002,sp500,0.00133278542869819
1957-04-18,45.41,45.41,45.41,45.41,2480000,45.41,sp500,0.00732027474177999
1957-04-22,45.48,45.48,45.48,45.48,2560000,45.48,sp500,0.00154151068046682
1957-04-23,45.650002,45.650002,45.650002,45.650002,2840000,45.650002,sp500,0.00373795074758143
1957-04-24,45.720001,45.720001,45.720001,45.720001,2990000,45.720001,sp500,0.00153338437969852
1957-04-25,45.560001,45.560001,45.560001,45.560001,2640000,45.560001,sp500,-0.00349956247813743
1957-04-26,45.5,45.5,45.5,45.5,2380000,45.5,sp500,-0.00131696660849501
1957-04-29,45.73,45.73,45.73,45.73,2290000,45.73,sp500,0.00505494505494508
1957-04-30,45.740002,45.740002,45.740002,45.740002,2200000,45.740002,sp500,0.000218718565493159
1957-05-01,46.02,46.02,46.02,46.02,2310000,46.02,sp500,0.00612151263132876
1957-05-02,46.389999,46.389999,46.389999,46.389999,2860000,46.389999,sp500,0.00803996088657111
1957-05-03,46.34,46.34,46.34,46.34,2390000,46.34,sp500,-0.00107779696222887
1957-05-06,46.27,46.27,46.27,46.27,2210000,46.27,sp500,-0.00151057401812693
1957-05-07,46.130001,46.130001,46.130001,46.130001,2300000,46.130001,sp500,-0.00302569699589372
1957-05-08,46.310001,46.310001,46.310001,46.310001,2590000,46.310001,sp500,0.00390201595703421
1957-05-09,46.360001,46.360001,46.360001,46.360001,2520000,46.360001,sp500,0.00107968039128292
1957-05-10,46.59,46.59,46.59,46.59,2430000,46.59,sp500,0.00496115174803391
1957-05-13,46.880001,46.880001,46.880001,46.880001,2720000,46.880001,sp500,0.00622453316162264
1957-05-14,46.669998,46.669998,46.669998,46.669998,2580000,46.669998,sp500,-0.00447958608192012
1957-05-15,46.830002,46.830002,46.830002,46.830002,2590000,46.830002,sp500,0.00342841240318892
1957-05-16,47.02,47.02,47.02,47.02,2690000,47.02,sp500,0.0040571853915361
1957-05-17,47.150002,47.150002,47.150002,47.150002,2510000,47.150002,sp500,0.00276482347937046
1957-05-20,47.349998,47.349998,47.349998,47.349998,2300000,47.349998,sp500,0.00424169653269568
1957-05-21,47.330002,47.330002,47.330002,47.330002,2370000,47.330002,sp500,-0.00042230202417326
1957-05-22,47.139999,47.139999,47.139999,47.139999,2060000,47.139999,sp500,-0.00401443042406791
1957-05-23,47.150002,47.150002,47.150002,47.150002,2110000,47.150002,sp500,0.000212197713453488
1957-05-24,47.209999,47.209999,47.209999,47.209999,2340000,47.209999,sp500,0.00127247078377657
1957-05-27,46.779999,46.779999,46.779999,46.779999,2290000,46.779999,sp500,-0.0091082399726381
1957-05-28,46.689999,46.689999,46.689999,46.689999,2070000,46.689999,sp500,-0.00192389914330682
1957-05-29,47.110001,47.110001,47.110001,47.110001,2270000,47.110001,sp500,0.00899554527726587
1957-05-31,47.43,47.43,47.43,47.43,2050000,47.43,sp500,0.0067925916622249
1957-06-03,47.369999,47.369999,47.369999,47.369999,2050000,47.369999,sp500,-0.00126504322158971
1957-06-04,47.279999,47.279999,47.279999,47.279999,2200000,47.279999,sp500,-0.00189993670888622
1957-06-05,47.27,47.27,47.27,47.27,1940000,47.27,sp500,-0.000211484776046489
1957-06-06,47.799999,47.799999,47.799999,47.799999,2300000,47.799999,sp500,0.0112121641633169
1957-06-07,47.849998,47.849998,47.849998,47.849998,2380000,47.849998,sp500,0.00104600420598344
1957-06-10,47.900002,47.900002,47.900002,47.900002,2050000,47.900002,sp500,0.00104501571766003
1957-06-11,47.939999,47.939999,47.939999,47.939999,2850000,47.939999,sp500,0.000835010403548608
1957-06-12,48.049999,48.049999,48.049999,48.049999,2600000,48.049999,sp500,0.00229453488307341
1957-06-13,48.139999,48.139999,48.139999,48.139999,2630000,48.139999,sp500,0.00187304894636942
1957-06-14,48.150002,48.150002,48.150002,48.150002,2090000,48.150002,sp500,0.000207789784125278
1957-06-17,48.240002,48.240002,48.240002,48.240002,2220000,48.240002,sp500,0.00186915880086569
1957-06-18,48.040001,48.040001,48.040001,48.040001,2440000,48.040001,sp500,-0.00414595753955405
1957-06-19,47.720001,47.720001,47.720001,47.720001,2220000,47.720001,sp500,-0.00666111559822813
1957-06-20,47.43,47.43,47.43,47.43,2050000,47.43,sp500,-0.00607713734121684
1957-06-21,47.150002,47.150002,47.150002,47.150002,1970000,47.150002,sp500,-0.00590339447607002
1957-06-24,46.779999,46.779999,46.779999,46.779999,2040000,46.779999,sp500,-0.00784735915811852
1957-06-25,47.150002,47.150002,47.150002,47.150002,2e+06,47.150002,sp500,0.00790942727467781
1957-06-26,47.09,47.09,47.09,47.09,1870000,47.09,sp500,-0.00127257682831061
1957-06-27,47.259998,47.259998,47.259998,47.259998,1800000,47.259998,sp500,0.00361006583138668
1957-06-28,47.369999,47.369999,47.369999,47.369999,1770000,47.369999,sp500,0.00232757098296954
1957-07-01,47.43,47.43,47.43,47.43,1840000,47.43,sp500,0.0012666455829986
1957-07-02,47.900002,47.900002,47.900002,47.900002,2450000,47.900002,sp500,0.00990938224752269
1957-07-03,48.459999,48.459999,48.459999,48.459999,2720000,48.459999,sp500,0.011690959845889
1957-07-05,48.689999,48.689999,48.689999,48.689999,2240000,48.689999,sp500,0.00474618251642966
1957-07-08,48.900002,48.900002,48.900002,48.900002,2840000,48.900002,sp500,0.00431306231901951
1957-07-09,48.900002,48.900002,48.900002,48.900002,2450000,48.900002,sp500,0
1957-07-10,49,49,49,49,2880000,49,sp500,0.00204494879161765
1957-07-11,48.860001,48.860001,48.860001,48.860001,2830000,48.860001,sp500,-0.00285712244897962
1957-07-12,49.080002,49.080002,49.080002,49.080002,2240000,49.080002,sp500,0.00450268103760387
1957-07-15,49.130001,49.130001,49.130001,49.130001,2480000,49.130001,sp500,0.00101872448986451
1957-07-16,48.880001,48.880001,48.880001,48.880001,2510000,48.880001,sp500,-0.00508854050298102
1957-07-17,48.580002,48.580002,48.580002,48.580002,2060000,48.580002,sp500,-0.00613745895790796
1957-07-18,48.529999,48.529999,48.529999,48.529999,2130000,48.529999,sp500,-0.0010292918472915
1957-07-19,48.580002,48.580002,48.580002,48.580002,1930000,48.580002,sp500,0.00103035238059657
1957-07-22,48.470001,48.470001,48.470001,48.470001,1950000,48.470001,sp500,-0.00226432679027055
1957-07-23,48.560001,48.560001,48.560001,48.560001,1840000,48.560001,sp500,0.00185681861240306
1957-07-24,48.610001,48.610001,48.610001,48.610001,1730000,48.610001,sp500,0.00102965401504007
1957-07-25,48.610001,48.610001,48.610001,48.610001,1800000,48.610001,sp500,0
1957-07-26,48.450001,48.450001,48.450001,48.450001,1710000,48.450001,sp500,-0.00329150373808873
1957-07-29,47.919998,47.919998,47.919998,47.919998,1990000,47.919998,sp500,-0.010939174180822
1957-07-30,47.919998,47.919998,47.919998,47.919998,1780000,47.919998,sp500,0
1957-07-31,47.91,47.91,47.91,47.91,1830000,47.91,sp500,-0.000208639407706213
1957-08-01,47.790001,47.790001,47.790001,47.790001,1660000,47.790001,sp500,-0.00250467543310373
